"SystemTime","IpAddress","Neighbor","meanLinkQuality"
1466418987,"10.0.0.3","10.0.0.6",0.8805
1466418987,"10.0.0.3","10.0.0.4",1
1466419012,"10.0.0.1","10.0.0.2",1
1466419013,"10.0.0.3","10.0.0.2",1
1466419013,"10.0.0.2","10.0.0.3",0.75075
1466419013,"10.0.0.2","10.0.0.1",1
1466419013,"10.0.0.3","10.0.0.5",0.884666666666667
1466419013,"10.0.0.3","10.0.0.6",0.572
1466419013,"10.0.0.3","10.0.0.4",0.8625
1466419014,"10.0.0.6","10.0.0.3",0.71625
1466419014,"10.0.0.6","10.0.0.5",0.908333333333333
1466419016,"10.0.0.4","10.0.0.3",0.732
1466419016,"10.0.0.5","10.0.0.3",0.7565
1466419016,"10.0.0.4","10.0.0.5",0.887333333333333
1466419016,"10.0.0.4","10.0.0.6",0.627
1466419016,"10.0.0.5","10.0.0.6",0.627
1466419016,"10.0.0.5","10.0.0.4",0.835
1466419042,"10.0.0.5","10.0.0.2",0.9485
1466419042,"10.0.0.5","10.0.0.3",0.70275
1466419042,"10.0.0.5","10.0.0.6",0.515
1466419042,"10.0.0.5","10.0.0.4",0.5915
1466419043,"10.0.0.1","10.0.0.2",0.9485
1466419044,"10.0.0.3","10.0.0.2",0.97
1466419044,"10.0.0.2","10.0.0.3",0.7085
1466419044,"10.0.0.2","10.0.0.1",0.886
1466419044,"10.0.0.3","10.0.0.5",0.836
1466419044,"10.0.0.3","10.0.0.6",0.4365
1466419044,"10.0.0.3","10.0.0.4",0.6225
1466419045,"10.0.0.6","10.0.0.3",0.71325
1466419045,"10.0.0.6","10.0.0.5",0.832333333333333
1466419047,"10.0.0.4","10.0.0.3",0.70125
1466419047,"10.0.0.4","10.0.0.5",0.841333333333333
1466419073,"10.0.0.4","10.0.0.3",0.736
1466419073,"10.0.0.5","10.0.0.3",0.72225
1466419073,"10.0.0.4","10.0.0.5",0.939333333333333
1466419073,"10.0.0.4","10.0.0.6",0.4585
1466419073,"10.0.0.5","10.0.0.6",0.5585
1466419073,"10.0.0.5","10.0.0.4",0.74
1466419074,"10.0.0.1","10.0.0.2",1
1466419075,"10.0.0.3","10.0.0.2",0.97
1466419075,"10.0.0.2","10.0.0.3",0.736
1466419075,"10.0.0.2","10.0.0.1",0.937
1466419075,"10.0.0.3","10.0.0.5",0.857333333333333
1466419075,"10.0.0.3","10.0.0.6",0.425
1466419075,"10.0.0.3","10.0.0.4",0.6345
1466419076,"10.0.0.6","10.0.0.3",0.71525
1466419076,"10.0.0.6","10.0.0.5",0.911
1466419102,"10.0.0.6","10.0.0.3",0.67225
1466419102,"10.0.0.6","10.0.0.5",0.758
1466419104,"10.0.0.4","10.0.0.3",0.686
1466419104,"10.0.0.5","10.0.0.3",0.686
1466419104,"10.0.0.4","10.0.0.5",0.707
1466419104,"10.0.0.5","10.0.0.6",0.464
1466419104,"10.0.0.5","10.0.0.4",0.7265
1466419105,"10.0.0.1","10.0.0.2",0.947
1466419106,"10.0.0.3","10.0.0.2",0.97
1466419106,"10.0.0.2","10.0.0.3",0.691
1466419106,"10.0.0.2","10.0.0.1",0.776
1466419106,"10.0.0.3","10.0.0.5",0.725333333333333
1466419106,"10.0.0.3","10.0.0.6",0.4995
1466419106,"10.0.0.3","10.0.0.4",0.7265
1466419132,"10.0.0.2","10.0.0.3",0.78975
1466419132,"10.0.0.2","10.0.0.1",0.788
1466419133,"10.0.0.6","10.0.0.3",0.736
1466419133,"10.0.0.6","10.0.0.5",0.791666666666667
1466419135,"10.0.0.5","10.0.0.2",0.943
1466419135,"10.0.0.4","10.0.0.3",0.7025
1466419135,"10.0.0.5","10.0.0.3",0.7135
1466419135,"10.0.0.4","10.0.0.5",0.834333333333333
1466419135,"10.0.0.4","10.0.0.6",0.652
1466419135,"10.0.0.5","10.0.0.6",0.6735
1466419135,"10.0.0.5","10.0.0.4",0.686
1466419136,"10.0.0.1","10.0.0.2",0.943
1466419162,"10.0.0.1","10.0.0.2",0.97
1466419163,"10.0.0.3","10.0.0.2",0.97
1466419163,"10.0.0.2","10.0.0.3",0.6625
1466419163,"10.0.0.2","10.0.0.1",0.94
1466419163,"10.0.0.2","10.0.0.5",0.923666666666667
1466419163,"10.0.0.3","10.0.0.5",0.923666666666667
1466419163,"10.0.0.3","10.0.0.6",0.6215
1466419163,"10.0.0.3","10.0.0.4",0.5855
1466419165,"10.0.0.6","10.0.0.3",0.6625
1466419165,"10.0.0.6","10.0.0.5",0.943666666666667
1466419166,"10.0.0.4","10.0.0.3",0.6655
1466419166,"10.0.0.5","10.0.0.3",0.67625
1466419166,"10.0.0.4","10.0.0.5",0.943666666666667
1466419166,"10.0.0.5","10.0.0.6",0.6175
1466419166,"10.0.0.5","10.0.0.4",0.5115
1466419192,"10.0.0.5","10.0.0.3",0.6875
1466419192,"10.0.0.5","10.0.0.6",0.6405
1466419192,"10.0.0.5","10.0.0.4",0.535
1466419193,"10.0.0.1","10.0.0.2",0.888
1466419194,"10.0.0.3","10.0.0.2",0.888
1466419194,"10.0.0.2","10.0.0.3",0.6965
1466419194,"10.0.0.2","10.0.0.1",1
1466419194,"10.0.0.3","10.0.0.5",0.794666666666667
