"SystemTime","NodeIp","IpNeighbor","linkQuality"
1466420307,"10.0.0.3","10.0.0.6",0.831
1466420333,"10.0.0.2","10.0.0.1",1
1466420333,"10.0.0.2","10.0.0.3",0.94
1466420333,"10.0.0.2","10.0.0.3",0.894
1466420333,"10.0.0.2","10.0.0.3",0.701
1466420333,"10.0.0.2","10.0.0.3",0.442
1466420333,"10.0.0.2","10.0.0.5",0.748
1466420333,"10.0.0.2","10.0.0.5",1
1466420333,"10.0.0.2","10.0.0.5",0.831
1466420333,"10.0.0.3","10.0.0.2",1
1466420333,"10.0.0.3","10.0.0.2",0.886
1466420333,"10.0.0.3","10.0.0.4",0.682
1466420333,"10.0.0.3","10.0.0.4",0.607
1466420333,"10.0.0.3","10.0.0.5",1
1466420333,"10.0.0.3","10.0.0.5",0.831
1466420333,"10.0.0.3","10.0.0.5",0.878
1466420333,"10.0.0.3","10.0.0.6",0.886
1466420333,"10.0.0.3","10.0.0.6",0.442
1466420334,"10.0.0.4","10.0.0.3",0.94
1466420334,"10.0.0.4","10.0.0.3",0.701
1466420334,"10.0.0.4","10.0.0.3",0.497
1466420334,"10.0.0.4","10.0.0.3",0.894
1466420334,"10.0.0.4","10.0.0.5",1
1466420334,"10.0.0.4","10.0.0.5",0.878
1466420334,"10.0.0.4","10.0.0.5",0.748
1466420335,"10.0.0.6","10.0.0.3",0.497
1466420335,"10.0.0.6","10.0.0.3",0.894
1466420335,"10.0.0.6","10.0.0.3",0.701
1466420335,"10.0.0.6","10.0.0.3",0.94
1466420335,"10.0.0.6","10.0.0.5",1
1466420335,"10.0.0.6","10.0.0.5",0.878
1466420335,"10.0.0.6","10.0.0.5",0.748
1466420336,"10.0.0.5","10.0.0.3",0.497
1466420336,"10.0.0.5","10.0.0.3",0.497
1466420336,"10.0.0.5","10.0.0.3",0.94
1466420336,"10.0.0.5","10.0.0.3",0.894
1466420336,"10.0.0.5","10.0.0.4",0.761
1466420336,"10.0.0.5","10.0.0.4",0.721
1466420336,"10.0.0.5","10.0.0.6",0.937
1466420336,"10.0.0.5","10.0.0.6",0.497
1466420337,"10.0.0.1","10.0.0.2",1
1466420337,"10.0.0.1","10.0.0.2",0.886
1466420363,"10.0.0.1","10.0.0.2",0.94
1466420363,"10.0.0.1","10.0.0.2",1
1466420364,"10.0.0.2","10.0.0.1",1
1466420364,"10.0.0.2","10.0.0.3",0.831
1466420364,"10.0.0.2","10.0.0.3",0.732
1466420364,"10.0.0.2","10.0.0.3",0.553
1466420364,"10.0.0.2","10.0.0.3",0.329
1466420364,"10.0.0.3","10.0.0.2",0.937
1466420364,"10.0.0.3","10.0.0.2",1
1466420364,"10.0.0.3","10.0.0.4",0.886
1466420364,"10.0.0.3","10.0.0.4",0.839
1466420364,"10.0.0.3","10.0.0.5",0.894
1466420364,"10.0.0.3","10.0.0.5",0.776
1466420364,"10.0.0.3","10.0.0.5",0.776
1466420364,"10.0.0.3","10.0.0.6",0.886
1466420364,"10.0.0.3","10.0.0.6",0.442
1466420365,"10.0.0.4","10.0.0.3",0.553
1466420365,"10.0.0.4","10.0.0.3",0.329
1466420365,"10.0.0.4","10.0.0.3",0.732
1466420365,"10.0.0.4","10.0.0.3",0.732
1466420365,"10.0.0.4","10.0.0.5",0.894
1466420365,"10.0.0.4","10.0.0.5",0.721
1466420365,"10.0.0.4","10.0.0.5",0.776
1466420366,"10.0.0.6","10.0.0.3",0.819
1466420366,"10.0.0.6","10.0.0.3",0.596
1466420366,"10.0.0.6","10.0.0.3",0.246
1466420366,"10.0.0.6","10.0.0.3",0.553
1466420366,"10.0.0.6","10.0.0.5",0.831
1466420366,"10.0.0.6","10.0.0.5",0.839
1466420366,"10.0.0.6","10.0.0.5",0.894
1466420367,"10.0.0.5","10.0.0.2",1
1466420367,"10.0.0.5","10.0.0.2",0.94
1466420367,"10.0.0.5","10.0.0.3",0.329
1466420367,"10.0.0.5","10.0.0.3",0.732
1466420367,"10.0.0.5","10.0.0.3",0.732
1466420367,"10.0.0.5","10.0.0.3",0.435
1466420367,"10.0.0.5","10.0.0.4",0.839
1466420367,"10.0.0.5","10.0.0.4",0.831
1466420367,"10.0.0.5","10.0.0.6",0.886
1466420367,"10.0.0.5","10.0.0.6",0.442
1466420393,"10.0.0.5","10.0.0.2",0.894
1466420393,"10.0.0.5","10.0.0.2",1
1466420393,"10.0.0.5","10.0.0.3",1
1466420393,"10.0.0.5","10.0.0.3",0.349
1466420393,"10.0.0.5","10.0.0.3",0.748
1466420393,"10.0.0.5","10.0.0.3",0.462
1466420393,"10.0.0.5","10.0.0.4",0.761
1466420393,"10.0.0.5","10.0.0.4",0.553
1466420393,"10.0.0.5","10.0.0.6",0.878
1466420393,"10.0.0.5","10.0.0.6",0.388
1466420394,"10.0.0.1","10.0.0.2",1
1466420394,"10.0.0.1","10.0.0.2",0.894
1466420395,"10.0.0.2","10.0.0.1",1
1466420395,"10.0.0.2","10.0.0.3",0.748
1466420395,"10.0.0.2","10.0.0.3",0.407
1466420395,"10.0.0.2","10.0.0.3",1
1466420395,"10.0.0.2","10.0.0.3",0.349
1466420395,"10.0.0.3","10.0.0.2",1
1466420395,"10.0.0.3","10.0.0.2",0.886
1466420395,"10.0.0.3","10.0.0.4",0.576
1466420395,"10.0.0.3","10.0.0.4",0.732
1466420395,"10.0.0.3","10.0.0.5",0.894
1466420395,"10.0.0.3","10.0.0.5",1
1466420395,"10.0.0.3","10.0.0.5",0.894
1466420395,"10.0.0.3","10.0.0.6",0.878
1466420395,"10.0.0.3","10.0.0.6",0.388
1466420396,"10.0.0.4","10.0.0.3",0.839
1466420396,"10.0.0.4","10.0.0.3",0.407
1466420396,"10.0.0.4","10.0.0.3",0.349
1466420396,"10.0.0.4","10.0.0.3",1
1466420396,"10.0.0.4","10.0.0.5",0.894
1466420396,"10.0.0.4","10.0.0.5",1
1466420396,"10.0.0.4","10.0.0.5",0.886
1466420397,"10.0.0.6","10.0.0.3",1
1466420397,"10.0.0.6","10.0.0.3",0.47
1466420397,"10.0.0.6","10.0.0.3",0.329
1466420397,"10.0.0.6","10.0.0.3",0.748
1466420397,"10.0.0.6","10.0.0.5",1
1466420397,"10.0.0.6","10.0.0.5",0.894
1466420397,"10.0.0.6","10.0.0.5",0.944
1466420423,"10.0.0.6","10.0.0.3",1
1466420423,"10.0.0.6","10.0.0.3",0.607
1466420423,"10.0.0.6","10.0.0.3",0.937
1466420423,"10.0.0.6","10.0.0.3",0.227
1466420423,"10.0.0.6","10.0.0.5",1
1466420423,"10.0.0.6","10.0.0.5",0.886
1466420423,"10.0.0.6","10.0.0.5",0.94
1466420424,"10.0.0.5","10.0.0.3",0.937
1466420424,"10.0.0.5","10.0.0.3",1
1466420424,"10.0.0.5","10.0.0.3",0.662
1466420424,"10.0.0.5","10.0.0.3",0.263
1466420424,"10.0.0.5","10.0.0.4",0.407
1466420424,"10.0.0.5","10.0.0.4",0.549
1466420424,"10.0.0.5","10.0.0.6",0.172
1466420424,"10.0.0.5","10.0.0.6",0.796
1466420425,"10.0.0.1","10.0.0.2",0.839
1466420425,"10.0.0.1","10.0.0.2",1
1466420426,"10.0.0.2","10.0.0.1",0.894
1466420426,"10.0.0.2","10.0.0.3",0.686
1466420426,"10.0.0.2","10.0.0.3",0.937
1466420426,"10.0.0.2","10.0.0.3",1
1466420426,"10.0.0.2","10.0.0.3",0.442
1466420426,"10.0.0.3","10.0.0.2",0.886
1466420426,"10.0.0.3","10.0.0.2",1
1466420426,"10.0.0.3","10.0.0.4",0.525
1466420426,"10.0.0.3","10.0.0.4",0.607
1466420426,"10.0.0.3","10.0.0.5",0.839
1466420426,"10.0.0.3","10.0.0.5",1
1466420426,"10.0.0.3","10.0.0.5",0.944
1466420426,"10.0.0.3","10.0.0.6",0.172
1466420426,"10.0.0.3","10.0.0.6",0.776
1466420427,"10.0.0.4","10.0.0.3",0.298
1466420427,"10.0.0.4","10.0.0.3",1
1466420427,"10.0.0.4","10.0.0.3",0.662
1466420427,"10.0.0.4","10.0.0.3",0.894
1466420427,"10.0.0.4","10.0.0.5",1
1466420427,"10.0.0.4","10.0.0.5",0.886
1466420427,"10.0.0.4","10.0.0.5",0.944
1466420453,"10.0.0.4","10.0.0.3",0.446
1466420453,"10.0.0.4","10.0.0.3",0.596
1466420453,"10.0.0.4","10.0.0.3",0.732
1466420453,"10.0.0.4","10.0.0.3",0.886
1466420453,"10.0.0.4","10.0.0.5",0.886
1466420453,"10.0.0.4","10.0.0.5",1
1466420453,"10.0.0.4","10.0.0.5",0.831
1466420454,"10.0.0.6","10.0.0.3",0.886
1466420454,"10.0.0.6","10.0.0.3",0.497
1466420454,"10.0.0.6","10.0.0.3",0.596
1466420454,"10.0.0.6","10.0.0.3",0.732
1466420454,"10.0.0.6","10.0.0.5",0.831
1466420454,"10.0.0.6","10.0.0.5",1
1466420454,"10.0.0.6","10.0.0.5",0.831
1466420455,"10.0.0.5","10.0.0.2",1
1466420455,"10.0.0.5","10.0.0.2",1
1466420455,"10.0.0.5","10.0.0.3",0.886
1466420455,"10.0.0.5","10.0.0.3",0.721
1466420455,"10.0.0.5","10.0.0.3",0.474
1466420455,"10.0.0.5","10.0.0.3",0.732
1466420455,"10.0.0.5","10.0.0.4",0.721
1466420455,"10.0.0.5","10.0.0.4",0.721
1466420455,"10.0.0.5","10.0.0.6",0.94
1466420455,"10.0.0.5","10.0.0.6",0.607
1466420456,"10.0.0.1","10.0.0.2",1
1466420456,"10.0.0.1","10.0.0.2",1
1466420457,"10.0.0.2","10.0.0.1",0.894
1466420457,"10.0.0.2","10.0.0.3",0.474
1466420457,"10.0.0.2","10.0.0.3",0.596
1466420457,"10.0.0.2","10.0.0.3",0.732
1466420457,"10.0.0.2","10.0.0.3",0.94
1466420457,"10.0.0.2","10.0.0.5",0.831
1466420457,"10.0.0.2","10.0.0.5",0.831
1466420457,"10.0.0.2","10.0.0.5",1
1466420457,"10.0.0.3","10.0.0.2",1
1466420457,"10.0.0.3","10.0.0.2",1
1466420457,"10.0.0.3","10.0.0.4",0.553
1466420457,"10.0.0.3","10.0.0.4",0.721
1466420457,"10.0.0.3","10.0.0.5",0.831
1466420457,"10.0.0.3","10.0.0.5",1
1466420457,"10.0.0.3","10.0.0.5",0.839
1466420457,"10.0.0.3","10.0.0.6",0.937
1466420457,"10.0.0.3","10.0.0.6",0.607
1466420483,"10.0.0.2","10.0.0.1",1
1466420483,"10.0.0.2","10.0.0.3",1
1466420483,"10.0.0.2","10.0.0.3",0.776
1466420483,"10.0.0.2","10.0.0.3",0.553
1466420483,"10.0.0.2","10.0.0.3",1
1466420483,"10.0.0.2","10.0.0.5",1
1466420483,"10.0.0.2","10.0.0.5",0.944
1466420483,"10.0.0.2","10.0.0.5",0.944
1466420483,"10.0.0.3","10.0.0.2",1
1466420483,"10.0.0.3","10.0.0.2",1
1466420483,"10.0.0.3","10.0.0.4",1
1466420483,"10.0.0.3","10.0.0.4",1
1466420483,"10.0.0.3","10.0.0.5",1
1466420483,"10.0.0.3","10.0.0.5",1
1466420483,"10.0.0.3","10.0.0.5",0.944
1466420483,"10.0.0.3","10.0.0.6",0.788
1466420483,"10.0.0.3","10.0.0.6",1
1466420484,"10.0.0.4","10.0.0.3",1
1466420484,"10.0.0.4","10.0.0.3",0.553
1466420484,"10.0.0.4","10.0.0.3",0.776
1466420484,"10.0.0.4","10.0.0.3",1
1466420484,"10.0.0.4","10.0.0.5",1
1466420484,"10.0.0.4","10.0.0.5",1
1466420484,"10.0.0.4","10.0.0.5",0.944
1466420485,"10.0.0.6","10.0.0.3",0.553
1466420485,"10.0.0.6","10.0.0.3",1
1466420485,"10.0.0.6","10.0.0.3",0.831
1466420485,"10.0.0.6","10.0.0.3",1
1466420485,"10.0.0.6","10.0.0.5",1
1466420485,"10.0.0.6","10.0.0.5",1
1466420485,"10.0.0.6","10.0.0.5",1
1466420486,"10.0.0.5","10.0.0.2",1
1466420486,"10.0.0.5","10.0.0.2",1
1466420486,"10.0.0.5","10.0.0.3",0.553
1466420486,"10.0.0.5","10.0.0.3",0.831
1466420486,"10.0.0.5","10.0.0.3",1
1466420486,"10.0.0.5","10.0.0.3",1
1466420486,"10.0.0.5","10.0.0.4",1
1466420486,"10.0.0.5","10.0.0.4",1
1466420486,"10.0.0.5","10.0.0.6",0.788
1466420486,"10.0.0.5","10.0.0.6",1
1466420513,"10.0.0.1","10.0.0.2",0.886
1466420513,"10.0.0.1","10.0.0.2",1
1466420514,"10.0.0.2","10.0.0.1",1
1466420514,"10.0.0.2","10.0.0.3",0.788
1466420514,"10.0.0.2","10.0.0.3",1
1466420514,"10.0.0.2","10.0.0.3",0.886
1466420514,"10.0.0.2","10.0.0.3",0.94
1466420514,"10.0.0.3","10.0.0.2",1
1466420514,"10.0.0.3","10.0.0.2",0.894
1466420514,"10.0.0.3","10.0.0.4",1
1466420514,"10.0.0.3","10.0.0.4",1
1466420514,"10.0.0.3","10.0.0.5",0.944
